Kupwara,1,Jammu & Kashmir,Kashmiri,618750,Pahari,44394.0,,
Badgam,2,Jammu & Kashmir,Kashmiri,714418,,,,
Leh(Ladakh),3,Jammu & Kashmir,Bauti,89319,,,,
Kargil,4,Jammu & Kashmir,Purkhi,92008,Bauti,7344.0,,
Punch,5,Jammu & Kashmir,Pahari,239402,,,,
Rajouri,6,Jammu & Kashmir,Pahari,310672,Gojri/Gujjari/Gujar,68577.0,,
Kathua,7,Jammu & Kashmir,Dogri,501940,Pahari,36930.0,,
Baramula,8,Jammu & Kashmir,Kashmiri,824025,Pahari,49348.0,,
Bandipore,9,Jammu & Kashmir,Kashmiri,305060,Dardi,17189.0,,
Srinagar,10,Jammu & Kashmir,Kashmiri,1164212,,,,
Ganderbal,11,Jammu & Kashmir,Kashmiri,204985,,,,
Pulwama,12,Jammu & Kashmir,Kashmiri,511681,,,,
Shupiyan,13,Jammu & Kashmir,Kashmiri,234253,,,,
Anantnag,14,Jammu & Kashmir,Kashmiri,917945,,,,
Kulgam,15,Jammu & Kashmir,Kashmiri,390125,,,,
Doda,16,Jammu & Kashmir,Kashmiri,145139,Bhadrawahi,39701.0,,
Ramban,17,Jammu & Kashmir,Kashmiri,98570,,,,
Kishtwar,18,Jammu & Kashmir,Kashmiri,115463,Padari,17145.0,,
Udhampur,19,Jammu & Kashmir,Dogri,451530,,,,
Reasi,20,Jammu & Kashmir,Dogri,119654,Kashmiri,55425.0,,
Jammu,21,Jammu & Kashmir,Dogri,1084040,,,,
Samba,22,Jammu & Kashmir,Dogri,269559,,,,
Chamba,23,Himachal Pradesh,Pahari,107020,Bharmauri/Gaddi,36942.0,Chambeali/Chamrali,97537.0
Kangra,24,Himachal Pradesh,Kangri,1008859,Pahari,116671.0,,
Lahul & Spiti,25,Himachal Pradesh,Pattani,8371,Kinnauri,10940.0,,
Kullu,26,Himachal Pradesh,Kulvi,193603,Pahari,96876.0,Siraji,41556.0
Mandi,27,Himachal Pradesh,Mandeali,582805,Pahari,228736.0,,
Hamirpur,28,Himachal Pradesh,Pahari,345515,,,,
Una,29,Himachal Pradesh,Hindi,180583,Pahari,61732.0,Punjabi,52256.0
Bilaspur,30,Himachal Pradesh,Bilaspuri_Kahluri,291715,,,,
Solan,31,Himachal Pradesh,Hindi,204894,Pahari,83885.0,Others,22952.0
Sirmaur,32,Himachal Pradesh,Pahari,123296,Sirmauri,83956.0,Hindi,189470.0
Shimla,33,Himachal Pradesh,Pahari,500834,Hindi,75296.0,,
Kinnaur,34,Himachal Pradesh,Kinnauri,60596,,,,
Gurdaspur,35,Punjab,Punjabi,2201675,Hindi,49786.0,,
Kapurthala,36,Punjab,Punjabi,743460,Hindi,58937.0,,
Jalandhar,37,Punjab,Punjabi,1933696,Hindi,215713.0,,
Hoshiarpur,38,Punjab,Punjabi,1487282,Hindi,83609.0,,
Shahid Bhagat Singh Nagar,39,Punjab,Punjabi,579448,Hindi,26778.0,,
Fatehgarh Sahib,40,Punjab,Punjabi,539675,Hindi,54944.0,,
Ludhiana,41,Punjab,Punjabi,2786939,Hindi,636500.0,,
Moga,42,Punjab,Punjabi,957963,Hindi,31987.0,,
Firozpur,43,Punjab,Punjabi,1633474,Hindi,62132.0,Bagri_Rajasthani,221174.0
Muktsar,44,Punjab,Punjabi,830946,Hindi,61199.0,,
Faridkot,45,Punjab,Punjabi,566824,Hindi,42660.0,,
Bathinda,46,Punjab,Punjabi,1243587,Hindi,119596.0,,
Mansa,47,Punjab,Punjabi,743044,Hindi,21291.0,,
Patiala,48,Punjab,Punjabi,1698730,Hindi,147698.0,,
Amritsar,49,Punjab,Punjabi,2348573,Hindi,119504.0,,
Tarn Taran,50,Punjab,Punjabi,1108314,Hindi,8597.0,,
Rupnagar,51,Punjab,Punjabi,634161,Hindi,44870.0,,
Sahibzada Ajit Singh Nagar,52,Punjab,Punjabi,743154,Hindi,222991.0,,
Sangrur,53,Punjab,Punjabi,1570200,Hindi,48251.0,Haryanvi,16906.0
Barnala,54,Punjab,Punjabi,566580,Hindi,25586.0,,
Chandigarh,55,Chandigarh,Hindi,715131,Punjabi,232427.0,,
Uttarkashi,56,Uttarakhand,Garhwali,266621,Hindi,20655.0,Others,7260.0
Chamoli,57,Uttarakhand,Garhwali,350667,Hindi,19956.0,,
Rudraprayag,58,Uttarakhand,Garhwali,228916,Hindi,10167.0,,
Tehri Garhwal,59,Uttarakhand,Garhwali,560020,Hindi,35416.0,Jaunpuri/Jaunsari,5880.0
Dehradun,60,Uttarakhand,Hindi,1014363,Jaunpuri/Jaunsari,108945.0,Garhwali,263721.0
Garhwal,61,Uttarakhand,Garhwali,572792,Hindi,91360.0,,
Pithoragarh,62,Uttarakhand,Kumauni,423862,Hindi,35590.0,,
Bageshwar,63,Uttarakhand,Kumauni,243965,Hindi,10680.0,,
Almora,64,Uttarakhand,Kumauni,561642,Hindi,31382.0,Garhwali,14597.0
Champawat,65,Uttarakhand,Kumauni,203022,Hindi,50254.0,,
Nainital,66,Uttarakhand,Kumauni,462493,Hindi,369373.0,,
Udham Singh Nagar,67,Uttarakhand,Hindi,1028354,Bengali,121500.0,Urdu,53288.0
Hardwar,68,Uttarakhand,Hindi,1649529,Urdu,182536.0,,
Panchkula,69,Haryana,Hindi,460995,Punjabi,53236.0,,
Ambala,70,Haryana,Hindi,954249,Punjabi,123598.0,,
Yamunanagar,71,Haryana,Hindi,1071954,Punjabi,84436.0,Urdu,7329.0
Kurukshetra,72,Haryana,Hindi,634845,Punjabi,100411.0,Haryanvi,74760.0
Kaithal,73,Haryana,Hindi,284491,Haryanvi,612962.0,Punjabi,62649.0
Karnal,74,Haryana,Hindi,817077,Haryanvi,482258.0,,
Panipat,75,Haryana,Haryanvi,577342,Hindi,512551.0,,
Sonipat,76,Haryana,Haryanvi,969970,Hindi,437189.0,,
Jind,77,Haryana,Haryanvi,1121632,Hindi,148357.0,Punjabi,17238.0
Fatehabad,78,Haryana,Hindi,335149,Haryanvi,187189.0,Punjabi,132028.0
Sirsa,79,Haryana,Punjabi,537147,Bagri,233504.0,Hindi,210658.0
Hisar,80,Haryana,Haryanvi,1199073,Hindi,460314.0,,
Bhiwani,81,Haryana,Haryanvi,1357634,Hindi,245910.0,Rajasthani,3103.0
Rohtak,82,Haryana,Haryanvi,816469,Hindi,186742.0,Punjabi,5493.0
Jhajjar,83,Haryana,Haryanvi,708110,Hindi,230064.0,,
Mahendragarh,84,Haryana,Hindi,523773,Haryanvi,372288.0,,
Rewari,85,Haryana,Hindi,652367,Haryanvi,230304.0,,
Gurgaon,86,Haryana,Hindi,993585,Haryanvi,352590.0,,
Mewat,87,Haryana,Mewati,343084,Hindi,310291.0,Urdu,215188.0
Faridabad,88,Haryana,Hindi,1592002,Punjabi,63793.0,Haryanvi,14686.0
Palwal,89,Haryana,Hindi,920376,Haryanvi,29878.0,Mewati,38767.0
North West,90,Nct Of Delhi,Hindi,3144573,Punjabi,135816.0,Haryanvi,22736.0
North,91,Nct Of Delhi,Hindi,729070,Urdu,74365.0,Punjabi,24208.0
North East,92,Nct Of Delhi,Hindi,1899970,Urdu,254222.0,,
East,93,Nct Of Delhi,Hindi,1445818,Punjabi,53925.0,Urdu,37926.0
New Delhi,94,Nct Of Delhi,Hindi,110952,Punjabi,4577.0,,
Central,95,Nct Of Delhi,Hindi,365002,Punjabi,23796.0,Urdu,157577.0
West,96,Nct Of Delhi,Hindi,1919154,Punjabi,369359.0,,
South West,97,Nct Of Delhi,Hindi,1908889,Punjabi,66909.0,,
South,98,Nct Of Delhi,Hindi,2119516,Urdu,141925.0,Punjabi,43005.0
Ganganagar,99,Rajasthan,Punjabi,579894,Bagri,322353.0,Rajasthani,284072.0
Hanumangarh,100,Rajasthan,Rajasthani,1032658,Punjabi,308129.0,Bagri,113548.0
Bikaner,101,Rajasthan,Rajasthani,1963314,Marwari,65917.0,Hindi,151409.0
Churu,102,Rajasthan,Rajasthani,1928555,Marwari,50914.0,Hindi,18109.0
Jhunjhunun,103,Rajasthan,Rajasthani,1793408,Hindi,198093.0,Marwari,40930.0
Alwar,104,Rajasthan,Hindi,3132788,Mewati,283099.0,Rathi,34736.0
Bharatpur,105,Rajasthan,Hindi,1621530,Brajbhasha,704985.0,Mewati,112609.0
Dhaulpur,106,Rajasthan,Hindi,1181340,Brajbhasha,18794.0,Urdu,406.0
Karauli,107,Rajasthan,Hindi,1448202,Urdu,7708.0,Rajasthani,114.0
Sawai Madhopur,108,Rajasthan,Hindi,1230486,Rajasthani,42110.0,Urdu,23376.0
Dausa,109,Rajasthan,Hindi,1418246,Rajasthani,74204.0,Dhundhari,57548.0
Jaipur,110,Rajasthan,Rajasthani,2199591,Hindi,2977196.0,Dhundhari,542743.0
Sikar,111,Rajasthan,Rajasthani,2479456,Hindi,37773.0,Urdu,48153.0
Nagaur,112,Rajasthan,Rajasthani,2682316,Marwari,462179.0,Urdu,33201.0
Jodhpur,113,Rajasthan,Rajasthani,2957844,Marwari,247132.0,Hindi,295254.0
Jaisalmer,114,Rajasthan,Rajasthani,342101,Marwari,274319.0,,
Barmer,115,Rajasthan,Marwari,1591907,Rajasthani,857389.0,,
Jalor,116,Rajasthan,Marwari,1141478,Rajasthani,654277.0,,
Sirohi,117,Rajasthan,Marwari,792476,Rajasthani,53236.0,Hindi,51437.0
Pali,118,Rajasthan,Rajasthani,1285195,Marwari,658931.0,,
Ajmer,119,Rajasthan,Rajasthani,1424792,Hindi,779176.0,Marwari,62453.0
